Step,algorithm,seed,actor/entropy_loss
5,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,42,0.5831688046455383
5,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,43,0.6169068813323975
5,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,42+1,0.5761401653289795
5,qwen2.5-1.5b-2gpu-PPO,42,0.6019315123558044
5,qwen2.5-1.5b-2gpu-PPO,43,0.6139964461326599
5,qwen2.5-1.5b-2gpu-PPO,44,0.5807983875274658
5,qwen2.5-1.5b-2gpu-PPO,42+1,0.5696679949760437
5,qwen2.5-1.5b-2gpu-PPO-C51,42,0.5892593264579773
5,qwen2.5-1.5b-2gpu-PPO-C51,43,0.6209019422531128
5,qwen2.5-1.5b-2gpu-PPO-C51,44,0.5598130226135254
5,qwen2.5-1.5b-2gpu-PPO-QRDQN,42,0.6019772887229919
5,qwen2.5-1.5b-2gpu-PPO-QRDQN,43,0.6137494444847107
5,qwen2.5-1.5b-2gpu-PPO-QRDQN,44,0.5811997652053833
5,qwen2.5-1.5b-2gpu-PPO-iqn,42,0.5841404795646667
5,qwen2.5-1.5b-2gpu-PPO-iqn,43,0.6146737337112427
5,qwen2.5-1.5b-2gpu-PPO-iqn,44,0.5686134099960327
5,qwen2.5-1.5b-2gpu-PPO-distributionalv2-iqn-8-1epoch,42+1,0.5842763185501099
5,qwen2.5-1.5b-2gpu-PPO-2,42+1,0.5849612951278687
5,qwen2.5-1.5b-2gpu-PPO-8,42+1,0.5754390358924866
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,42,0.6028374433517456
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,43,0.6648766398429871
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,44,0.5999769568443298
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,42,0.6006447076797485
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,43,0.6554136276245117
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,44,0.6058635115623474
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,42,0.6049675941467285
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,43,0.6641013026237488
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,44,0.5989639163017273
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,42,0.6096754670143127
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,43,0.6709386706352234
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,44,0.5945898294448853
6,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,42,0.6305127739906311
6,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,43,0.6653333306312561
6,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,44,0.58554607629776
6,qwen2.5-1.5b-2gpu-GRPO,42,0.5972885489463806
6,qwen2.5-1.5b-2gpu-GRPO,43,0.6590304374694824
6,qwen2.5-1.5b-2gpu-GRPO,44,0.5945627689361572
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,42,0.6073143184185028
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,43,0.6602606177330017
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,44,0.6055769324302673
6,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,42,0.6075289845466614
